arduino_us,wall_time,throttle_pct
3871923431,13:12:02.199,37.696
3871955112,13:12:02.231,42.218
3871970207,13:12:02.246,48.774
3871980089,13:12:02.256,48.774
3871988322,13:12:02.264,49.948
3871995949,13:12:02.272,49.948
3872003328,13:12:02.279,38.543
3872010268,13:12:02.286,38.543
3872015932,13:12:02.292,38.543
3872020710,13:12:02.296,38.543
3872024811,13:12:02.301,26.266
3872028474,13:12:02.304,26.266
3872031993,13:12:02.308,26.266
3872035438,13:12:02.311,26.266
3872038906,13:12:02.314,26.266
3872042169,13:12:02.318,26.266
3872045475,13:12:02.321,34.371
3872048644,13:12:02.324,34.371
3872051504,13:12:02.327,34.371
3872054341,13:12:02.330,34.371
3872057132,13:12:02.333,34.371
3872059900,13:12:02.335,34.371
3872062543,13:12:02.338,48.781
3872065191,13:12:02.341,48.781
3872067764,13:12:02.343,48.781
3872070011,13:12:02.346,48.781
3872072283,13:12:02.348,48.781
3872074506,13:12:02.350,48.781
3872076709,13:12:02.352,48.781
3872078800,13:12:02.354,48.781
3872080910,13:12:02.356,48.781
3872082935,13:12:02.359,26.619
3872084817,13:12:02.361,26.619
3872086769,13:12:02.362,26.619
3872088737,13:12:02.364,26.619
3872090762,13:12:02.366,26.619
3872092776,13:12:02.369,26.619
3872094839,13:12:02.371,26.619
3872096940,13:12:02.373,26.619
3872098985,13:12:02.375,26.619
3872101072,13:12:02.377,26.619
3872103210,13:12:02.379,67.056
3872105376,13:12:02.381,67.056
3872107452,13:12:02.383,67.056
3872109481,13:12:02.385,67.056
3872111520,13:12:02.387,67.056
3872113229,13:12:02.389,67.056
3872114986,13:12:02.391,67.056
3872116713,13:12:02.392,67.056
3872118425,13:12:02.394,67.056
3872120058,13:12:02.396,67.056
3872121739,13:12:02.397,67.056
3872123273,13:12:02.399,14.072
3872124780,13:12:02.401,14.072
3872126386,13:12:02.402,14.072
3872127967,13:12:02.404,14.072
3872129638,13:12:02.405,14.072
3872131335,13:12:02.407,14.072
3872133134,13:12:02.409,14.072
3872134983,13:12:02.411,14.072
3872136910,13:12:02.413,14.072
3872138903,13:12:02.414,14.072
3872141013,13:12:02.417,14.072
3872143244,13:12:02.419,38.819
3872145528,13:12:02.421,38.819
3872147894,13:12:02.424,38.819
3872150214,13:12:02.426,38.819
3872152374,13:12:02.428,38.819
3872154559,13:12:02.430,38.819
3872156743,13:12:02.432,38.819
3872158943,13:12:02.435,38.819
3872161066,13:12:02.437,38.819
3872163195,13:12:02.439,41.462
3872165328,13:12:02.441,41.462
3872167314,13:12:02.443,41.462
3872169321,13:12:02.445,41.462
3872171338,13:12:02.447,41.462
3872173386,13:12:02.449,41.462
3872175343,13:12:02.451,41.462
