timestamp_s,cam_pitch_rad,cam_yaw_rad,laser_pitch_rad,laser_yaw_rad,laser_dx_m,laser_dy_m,imu_omega_x_rad_s,imu_omega_y_rad_s,imu_omega_z_rad_s,throttle_pitch,throttle_yaw
160.2302,-0.03441,-0.01957,-0.00075,0.00074,-0.00095,0.00095,-0.01766,-0.01030,0.00062,0.71,0.55
160.3307,-0.03456,-0.01959,-0.00060,0.00077,-0.00098,0.00076,-0.01765,-0.00976,0.00540,0.70,0.55
160.4315,-0.03437,-0.01974,-0.00079,0.00091,-0.00116,0.00100,-0.01871,-0.01082,0.00274,0.71,0.55
160.5319,-0.03439,-0.01993,-0.00076,0.00110,-0.00140,0.00097,-0.01977,-0.01029,0.00221,0.71,0.55
160.6324,-0.03429,-0.01986,-0.00087,0.00104,-0.00132,0.00110,-0.02029,-0.00975,0.00061,0.71,0.55
160.7326,-0.03414,-0.01957,-0.00102,0.00075,-0.00095,0.00129,-0.01975,-0.00815,0.00167,0.71,0.55
160.8337,-0.03396,-0.01995,-0.00120,0.00113,-0.00143,0.00152,-0.01975,-0.01241,0.00433,0.71,0.55
160.9343,-0.03407,-0.02003,-0.00066,0.00121,-0.00154,0.00084,-0.01974,-0.01240,0.00380,0.71,0.55
161.0347,-0.03445,-0.02006,-0.00071,0.00124,-0.00158,0.00090,-0.01973,-0.00814,0.00380,0.71,0.55
161.1362,-0.03436,-0.01986,-0.00080,0.00104,-0.00132,0.00102,-0.02025,-0.00920,0.00220,0.71,0.55
161.2364,-0.03428,-0.01979,-0.00088,0.00097,-0.00123,0.00111,-0.01918,-0.00866,0.00060,0.71,0.55
161.3367,-0.03431,-0.01962,-0.00085,0.00080,-0.00101,0.00107,-0.01864,-0.00760,0.00380,0.71,0.55
161.4370,-0.03424,-0.01966,-0.00092,0.00084,-0.00106,0.00117,-0.01758,-0.01132,0.00380,0.71,0.55
161.5372,-0.03435,-0.01979,-0.00081,0.00096,-0.00122,0.00103,-0.01757,-0.01079,0.00273,0.71,0.55
161.6402,-0.03458,-0.01974,-0.00058,0.00092,-0.00117,0.00073,-0.01756,-0.00972,0.00167,0.71,0.55
161.7405,-0.03452,-0.01967,-0.00063,0.00085,-0.00108,0.00080,-0.01809,-0.00706,0.00167,0.71,0.55
161.8407,-0.03428,-0.01979,-0.00088,0.00097,-0.00123,0.00111,-0.01702,-0.00971,0.00379,0.71,0.55
161.9427,-0.03413,-0.01993,-0.00103,0.00111,-0.00141,0.00131,-0.01755,-0.01131,0.00379,0.71,0.54
162.0430,-0.03421,-0.01990,-0.00095,0.00108,-0.00137,0.00121,-0.01701,-0.00971,0.00113,0.71,0.55
162.1434,-0.03424,-0.01958,-0.00092,0.00076,-0.00096,0.00117,-0.01754,-0.00971,0.00007,0.71,0.55
162.2444,-0.03451,-0.01952,-0.00065,0.00069,-0.00088,0.00082,-0.01754,-0.00970,0.00379,0.71,0.55
162.3456,-0.03469,-0.01962,-0.00047,0.00080,-0.00102,0.00059,-0.01806,-0.01130,0.00326,0.71,0.55
162.4461,-0.03474,-0.01976,-0.00041,0.00094,-0.00119,0.00053,-0.01912,-0.00917,0.00326,0.71,0.54
162.5463,-0.03434,-0.01988,-0.00081,0.00106,-0.00135,0.00103,-0.01965,-0.00757,0.00219,0.71,0.54
162.6470,-0.03416,-0.01964,-0.00099,0.00082,-0.00104,0.00126,-0.01804,-0.00703,0.00059,0.72,0.55
162.7475,-0.03402,-0.01963,-0.00114,0.00081,-0.00102,0.00144,-0.01857,-0.00863,0.00591,0.72,0.54
162.8479,-0.03410,-0.01968,-0.00106,0.00086,-0.00109,0.00135,-0.01803,-0.01447,0.00219,0.71,0.54
162.9487,-0.03438,-0.01986,-0.00078,0.00104,-0.00132,0.00099,-0.01909,-0.01181,0.00272,0.71,0.54
163.0500,-0.03432,-0.01957,-0.00083,0.00075,-0.00095,0.00106,-0.01856,-0.00809,0.00272,0.72,0.54
