timestamp_s,cam_pitch_rad,cam_yaw_rad,laser_pitch_rad,laser_yaw_rad,laser_dx_m,laser_dy_m,imu_omega_x_rad_s,imu_omega_y_rad_s,imu_omega_z_rad_s,throttle_pitch,throttle_yaw,setpoint_laser_dx_m,setpoint_laser_dy_m,cam_setpoint_pitch_rad,cam_setpoint_yaw_rad,cam_offset_pitch_rad,cam_offset_yaw_rad,mode_slew,dist_cm,omega_des_pitch_rad_s,omega_des_yaw_rad_s,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,error_sum_pitch,error_sum_yaw,omega1_act_rad_s,omega2_act_rad_s,u_ff_pitch,u_ff_yaw,u_fb_pitch,u_fb_yaw,e_pitch_rad,e_yaw_rad,Omega1_des_rad_s,Omega2_des_rad_s,cam_valid,laser_valid,active_target_idx,pid_pitch_on,pid_yaw_on,ff_pitch_on,ff_yaw_on
1398.9364,0.00323,-0.03935,0.00100,0.02862,-0.04554,-0.00158,-0.01944,-0.01942,-0.00881,0.48,0.48,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0,159.214,0.00000,0.00000,7.0000,7.0000,1.5000,5.0000,4.0000,1.0000,0.00000,0.00000,591.02486,567.12567,0.00000,0.00000,0.00000,0.00000,-0.00100,-0.02862,0.00000,0.00000,1,1,0,1,1,1,1
1399.0367,0.00087,-0.04032,0.00323,0.02954,-0.04707,-0.00514,-0.00985,0.00134,-0.03167,0.49,0.49,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0,159.407,0.00000,0.00000,7.0000,7.0000,1.5000,5.0000,4.0000,1.0000,0.00000,0.00000,595.50614,569.49019,0.00000,0.00000,0.00000,0.00000,-0.00323,-0.02954,0.00000,0.00000,1,1,0,1,1,1,1
1399.1371,0.00013,-0.03801,0.00388,0.02723,-0.04347,-0.00619,-0.00133,0.00187,-0.03057,0.49,0.49,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0,159.711,0.00000,0.00000,7.0000,7.0000,1.5000,5.0000,4.0000,1.0000,0.00000,0.00000,603.74607,574.27889,0.00000,0.00000,0.00000,0.00000,-0.00388,-0.02723,0.00000,0.00000,1,1,0,1,1,1,1
1399.2374,0.00065,-0.03467,0.00335,0.02386,-0.03799,-0.00533,0.00612,-0.00026,-0.02469,0.50,0.50,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0,159.298,0.00000,0.00000,7.0000,7.0000,1.5000,5.0000,4.0000,1.0000,0.00000,0.00000,608.95380,586.50101,0.00000,0.00000,0.00000,0.00000,-0.00335,-0.02386,0.00000,0.00000,1,1,0,1,1,1,1
1399.3377,0.00092,-0.03297,0.00302,0.02218,-0.03537,-0.00482,0.01302,-0.00292,-0.02147,0.50,0.50,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0,159.494,0.00000,0.00000,7.0000,7.0000,1.5000,5.0000,4.0000,1.0000,0.00000,0.00000,617.45139,594.09846,0.00000,0.00000,0.00000,0.00000,-0.00302,-0.02218,0.00000,0.00000,1,1,0,1,1,1,1
1399.4384,0.00116,-0.03065,0.00275,0.01985,-0.03163,-0.00438,0.01939,-0.00558,-0.01667,0.51,0.51,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0,159.374,0.00000,0.00000,7.0000,7.0000,1.5000,5.0000,4.0000,1.0000,0.00000,0.00000,622.46734,601.08919,0.00000,0.00000,0.00000,0.00000,-0.00275,-0.01985,0.00000,0.00000,1,1,0,1,1,1,1
1399.5386,0.00107,-0.02861,0.00287,0.01779,-0.02835,-0.00457,0.02203,-0.00504,-0.01027,0.51,0.51,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0,159.388,0.00000,0.00000,7.0000,7.0000,1.5000,5.0000,4.0000,1.0000,0.00000,0.00000,632.87523,609.95877,0.00000,0.00000,0.00000,0.00000,-0.00287,-0.01779,0.00000,0.00000,1,1,0,1,1,1,1
1399.6395,0.00058,-0.02793,0.00338,0.01710,-0.02724,-0.00538,0.02201,-0.01142,-0.01239,0.52,0.52,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0,159.357,0.00000,0.00000,7.0000,7.0000,1.5000,5.0000,4.0000,1.0000,0.00000,0.00000,636.59426,610.01799,0.00000,0.00000,0.00000,0.00000,-0.00338,-0.01710,0.00000,0.00000,1,1,0,1,1,1,1
1399.7402,-0.00001,-0.02737,0.00397,0.01651,-0.02630,-0.00632,0.01933,-0.00874,-0.00546,0.52,0.52,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0,159.320,0.00000,0.00000,7.0000,7.0000,1.5000,5.0000,4.0000,1.0000,0.00000,0.00000,643.63709,615.63642,0.00000,0.00000,0.00000,0.00000,-0.00397,-0.01651,0.00000,0.00000,1,1,0,1,1,1,1
1399.8406,-0.00146,-0.02713,0.00545,0.01622,-0.02582,-0.00868,0.01506,-0.00129,-0.00812,0.53,0.53,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0,159.238,0.00000,0.00000,7.0000,7.0000,1.5000,5.0000,4.0000,1.0000,0.00000,0.00000,648.08513,619.82690,0.00000,0.00000,0.00000,0.00000,-0.00545,-0.01622,0.00000,0.00000,1,1,0,1,1,1,1
