timestamp_s,cam_pitch_rad,cam_yaw_rad,laser_pitch_rad,laser_yaw_rad,laser_dx_m,laser_dy_m,imu_omega_x_rad_s,imu_omega_y_rad_s,imu_omega_z_rad_s,throttle_pitch,throttle_yaw,setpoint_laser_dx_m,setpoint_laser_dy_m,cam_setpoint_pitch_rad,cam_setpoint_yaw_rad,cam_offset_pitch_rad,cam_offset_yaw_rad,mode_slew,dist_cm,omega_des_pitch_rad_s,omega_des_yaw_rad_s,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,error_sum_pitch,error_sum_yaw,omega1_act_rad_s,omega2_act_rad_s,u_ff_pitch,u_ff_yaw,u_fb_pitch,u_fb_yaw,e_pitch_rad,e_yaw_rad,Omega1_des_rad_s,Omega2_des_rad_s,cam_valid,laser_valid,active_target_idx,pid_pitch_on,pid_yaw_on,ff_pitch_on,ff_yaw_on
1755.1306,0.00683,-0.00851,0.00290,-0.00207,0.00362,-0.00508,0.01186,-0.00060,0.00782,0.53,0.55,0.00000,0.01771,-0.01012,0.00000,-0.00393,0.00644,0,174.981,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,3.0000,2.0000,-0.00027,0.00040,704.94618,697.89907,0.00000,0.00000,-0.02282,-0.00408,-0.01303,0.00207,0.00000,0.00000,1,1,3,1,1,1,1
1755.2328,0.00654,-0.00967,0.00532,-0.00091,0.00160,-0.00933,0.00707,0.00578,-0.02464,0.51,0.61,0.00000,0.02214,-0.01263,0.00000,-0.00122,0.00876,0,175.347,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,3.0000,2.0000,-0.00080,0.00050,682.50981,678.01719,0.00000,0.00000,-0.03711,0.05532,-0.01795,0.00091,0.00000,0.00000,1,1,3,1,1,1,1
1755.3333,0.00680,-0.00853,0.00754,-0.00205,0.00359,-0.01322,-0.00357,0.00898,-0.00335,0.50,0.57,0.00000,0.02657,-0.01516,0.00000,0.00074,0.00648,0,175.233,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,3.0000,2.0000,-0.00156,0.00070,654.22588,745.33634,0.00000,0.00000,-0.05475,0.01904,-0.02271,0.00205,0.00000,0.00000,1,1,3,1,1,1,1
1755.4336,0.00791,-0.00698,0.00930,-0.00355,0.00623,-0.01633,-0.00729,0.00525,-0.03419,0.47,0.64,0.00000,0.03100,-0.01766,0.00000,0.00140,0.00343,0,175.551,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,3.0000,2.0000,-0.00249,0.00105,641.99298,717.58626,0.00000,0.00000,-0.07730,0.08930,-0.02696,0.00355,0.00000,0.00000,1,1,3,1,1,1,1
1755.5346,0.00892,-0.00487,0.01072,-0.00563,0.00990,-0.01883,-0.01686,0.01109,-0.02140,0.46,0.63,0.00000,0.03100,-0.01764,0.00000,0.00180,-0.00076,0,175.731,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,3.0000,2.0000,-0.00356,0.00162,604.67571,785.59456,0.00000,0.00000,-0.08886,0.07583,-0.02836,0.00563,0.00000,0.00000,1,1,3,1,1,1,1
1755.6352,0.01002,-0.00225,0.00995,-0.00824,0.01447,-0.01748,-0.02057,0.00364,-0.03522,0.45,0.67,0.00000,0.03100,-0.01764,0.00000,-0.00007,-0.00598,0,175.687,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,3.0000,2.0000,-0.00456,0.00244,589.97045,786.08599,0.00000,0.00000,-0.09791,0.11894,-0.02759,0.00824,0.00000,0.00000,1,1,3,1,1,1,1
1755.7355,0.01067,0.00080,0.00879,-0.01127,0.01978,-0.01543,-0.01949,0.00045,-0.00752,0.45,0.63,0.00000,0.03100,-0.01766,0.00000,-0.00187,-0.01207,0,175.495,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,3.0000,2.0000,-0.00544,0.00357,577.97676,834.86385,0.00000,0.00000,-0.09916,0.08211,-0.02646,0.01127,0.00000,0.00000,1,1,3,1,1,1,1
1755.8359,0.01065,0.00243,0.00879,-0.01290,0.02260,-0.01541,-0.01149,-0.01391,-0.01603,0.43,0.66,0.00000,0.03100,-0.01769,0.00000,-0.00186,-0.01532,0,175.252,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,3.0000,2.0000,-0.00632,0.00486,575.75234,795.84361,0.00000,0.00000,-0.11968,0.11112,-0.02648,0.01290,0.00000,0.00000,1,1,3,1,1,1,1
1755.9367,0.00951,0.00368,0.00991,-0.01421,0.02489,-0.01736,-0.00670,-0.01018,-0.00538,0.42,0.65,0.00000,0.03100,-0.01769,0.00000,0.00039,-0.01788,0,175.204,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,3.0000,2.0000,-0.00731,0.00628,546.26894,826.95253,0.00000,0.00000,-0.13066,0.10062,-0.02760,0.01421,0.00000,0.00000,1,1,3,1,1,1,1
1756.0370,0.00871,0.00453,0.01073,-0.01511,0.02641,-0.01875,0.00129,-0.00857,-0.00591,0.41,0.66,0.00000,0.03100,-0.01774,0.00000,0.00201,-0.01964,0,174.766,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,3.0000,2.0000,-0.00838,0.00779,539.51445,817.91009,0.00000,0.00000,-0.14231,0.11073,-0.02846,0.01511,0.00000,0.00000,1,1,3,1,1,1,1
