timestamp_s,cam_pitch_rad,cam_yaw_rad,laser_pitch_rad,laser_yaw_rad,laser_dx_m,laser_dy_m,imu_omega_x_rad_s,imu_omega_y_rad_s,imu_omega_z_rad_s,throttle_pitch,throttle_yaw,setpoint_laser_dx_m,setpoint_laser_dy_m,cam_setpoint_pitch_rad,cam_setpoint_yaw_rad,cam_offset_pitch_rad,cam_offset_yaw_rad,mode_slew,dist_cm,omega_des_pitch_rad_s,omega_des_yaw_rad_s,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,error_sum_pitch,error_sum_yaw,omega1_act_rad_s,omega2_act_rad_s,u_ff_pitch,u_ff_yaw,u_fb_pitch,u_fb_yaw,e_pitch_rad,e_yaw_rad,Omega1_des_rad_s,Omega2_des_rad_s,cam_valid,laser_valid,active_target_idx,pid_pitch_on,pid_yaw_on,ff_pitch_on,ff_yaw_on
288.3742,0.00276,0.00316,-0.00233,0.00495,-0.01010,0.00476,-0.00087,-0.00814,-0.00784,0.69,0.47,0.03947,0.00000,-0.00000,0.01934,-0.00509,0.00179,0,204.050,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.03154,-0.03735,893.38622,564.57771,0.00000,0.00000,0.13608,-0.08169,0.00233,0.01439,0.00000,0.00000,1,1,1,1,1,1,1
288.4747,0.00225,0.00404,-0.00189,0.00494,-0.01008,0.00385,-0.00247,-0.00282,-0.00890,0.69,0.47,0.04126,0.00000,-0.00000,0.02022,-0.00414,0.00090,0,204.045,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.03173,-0.03784,887.83175,567.74061,0.00000,0.00000,0.13682,-0.08161,0.00189,0.01528,0.00000,0.00000,1,1,1,1,1,1,1
288.5761,0.00230,0.00509,-0.00247,0.00443,-0.00903,0.00502,-0.00247,0.00144,-0.00783,0.69,0.47,0.04306,0.00000,-0.00000,0.02115,-0.00476,-0.00066,0,203.523,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.03197,-0.03828,886.57899,564.72994,0.00000,0.00000,0.14340,-0.08204,0.00247,0.01672,0.00000,0.00000,1,1,1,1,1,1,1
288.6765,0.00225,0.00631,-0.00238,0.00439,-0.00899,0.00488,-0.00300,-0.00335,-0.00676,0.69,0.47,0.04485,0.00000,-0.00000,0.02191,-0.00464,-0.00192,0,204.644,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.03221,-0.03872,891.35839,569.12910,0.00000,0.00000,0.14148,-0.08387,0.00238,0.01752,0.00000,0.00000,1,1,1,1,1,1,1
288.7769,0.00219,0.00765,-0.00241,0.00399,-0.00813,0.00492,-0.00353,-0.00015,-0.01154,0.69,0.47,0.04665,0.00000,-0.00000,0.02287,-0.00460,-0.00366,0,203.937,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.03245,-0.03912,888.71079,557.91026,0.00000,0.00000,0.14423,-0.07867,0.00241,0.01888,0.00000,0.00000,1,1,1,1,1,1,1
288.8773,0.00224,0.00875,-0.00241,0.00332,-0.00678,0.00491,-0.00352,-0.00387,-0.00249,0.69,0.46,0.04844,0.00000,-0.00000,0.02373,-0.00464,-0.00543,0,204.081,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.03269,-0.03945,890.60033,567.27928,0.00000,0.00000,0.14329,-0.08639,0.00241,0.02041,0.00000,0.00000,1,1,1,1,1,1,1
288.9776,0.00216,0.00961,-0.00240,0.00369,-0.00754,0.00490,-0.00193,-0.00334,-0.01152,0.69,0.47,0.05024,0.00000,-0.00000,0.02456,-0.00455,-0.00593,0,204.531,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.03293,-0.03982,895.67859,561.29938,0.00000,0.00000,0.14444,-0.07918,0.00240,0.02087,0.00000,0.00000,1,1,1,1,1,1,1
289.0780,0.00232,0.01022,-0.00262,0.00407,-0.00830,0.00536,-0.00246,-0.00068,-0.00354,0.70,0.46,0.05203,0.00000,-0.00000,0.02548,-0.00495,-0.00615,0,204.177,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.03320,-0.04023,890.72658,565.89978,0.00000,0.00000,0.14819,-0.08912,0.00262,0.02141,0.00000,0.00000,1,1,1,1,1,1,1
289.1791,0.00222,0.01130,-0.00248,0.00377,-0.00771,0.00506,-0.00139,-0.00227,-0.00885,0.70,0.47,0.05382,0.00000,-0.00000,0.02634,-0.00470,-0.00753,0,204.340,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.03344,-0.04061,895.29571,560.24836,0.00000,0.00000,0.14750,-0.08368,0.00248,0.02256,0.00000,0.00000,1,1,1,1,1,1,1
289.2795,0.00250,0.01181,-0.00285,0.00429,-0.00874,0.00580,-0.00192,-0.00067,-0.00937,0.70,0.46,0.05562,0.00000,-0.00000,0.02730,-0.00535,-0.00752,0,203.662,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,2.0000,1.0000,0.03373,-0.04104,898.49640,559.10174,0.00000,0.00000,0.15165,-0.08557,0.00285,0.02301,0.00000,0.00000,1,1,1,1,1,1,1
