timestamp_s,cam_pitch_rad,cam_yaw_rad,laser_pitch_rad,laser_yaw_rad,laser_dx_m,laser_dy_m,imu_omega_x_rad_s,imu_omega_y_rad_s,imu_omega_z_rad_s,throttle_pitch,throttle_yaw,setpoint_laser_dx_m,setpoint_laser_dy_m,cam_setpoint_pitch_rad,cam_setpoint_yaw_rad,cam_offset_pitch_rad,cam_offset_yaw_rad,mode_slew,dist_cm,omega_des_pitch_rad_s,omega_des_yaw_rad_s,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,error_sum_pitch,error_sum_yaw,omega1_act_rad_s,omega2_act_rad_s,u_ff_pitch,u_ff_yaw,u_fb_pitch,u_fb_yaw,e_pitch_rad,e_yaw_rad,Omega1_des_rad_s,Omega2_des_rad_s,cam_valid,laser_valid,active_target_idx,pid_pitch_on,pid_yaw_on,ff_pitch_on,ff_yaw_on
168.2369,0.01107,-0.00361,0.00969,-0.00714,0.01192,-0.01618,0.00346,-0.00228,0.00043,0.43,0.55,0.00000,0.03100,-0.01857,0.00000,-0.00138,-0.00353,0,166.921,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.01532,-0.00799,553.19469,677.57849,0.00000,0.00000,-0.12058,-0.00300,-0.02826,0.00714,553.19469,0.00000,1,1,3,1,1,0,0
168.3372,0.01059,-0.00351,0.01017,-0.00725,0.01211,-0.01699,0.00452,0.00144,0.00469,0.42,0.55,0.00000,0.03100,-0.01855,0.00000,-0.00042,-0.00374,0,167.144,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.01634,-0.00727,542.63626,673.65555,0.00000,0.00000,-0.12563,-0.00475,-0.02871,0.00725,542.63626,0.00000,1,1,3,1,1,0,0
168.4403,0.01046,-0.00384,0.01030,-0.00690,0.01150,-0.01718,0.00452,-0.00228,0.00362,0.42,0.55,0.00000,0.03100,-0.01859,0.00000,-0.00016,-0.00305,0,166.764,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.01737,-0.00658,540.72163,680.07201,0.00000,0.00000,-0.13242,-0.00267,-0.02889,0.00690,540.72163,0.00000,1,1,3,1,1,0,0
168.5408,0.01054,-0.00422,0.01020,-0.00653,0.01092,-0.01707,0.00452,0.00304,0.00309,0.42,0.55,0.00000,0.03100,-0.01853,0.00000,-0.00034,-0.00231,0,167.289,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.01839,-0.00593,533.87589,681.03027,0.00000,0.00000,-0.13325,-0.00128,-0.02873,0.00653,533.87589,0.00000,1,1,3,1,1,0,0
168.6414,0.01105,-0.00449,0.00967,-0.00623,0.01041,-0.01617,0.00451,-0.00016,0.00521,0.41,0.55,0.00000,0.03100,-0.01854,0.00000,-0.00138,-0.00174,0,167.200,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.01936,-0.00530,527.64405,673.58333,0.00000,0.00000,-0.13554,-0.00244,-0.02821,0.00623,527.64405,0.00000,1,1,3,1,1,0,0
168.7417,0.01146,-0.00484,0.00926,-0.00587,0.00983,-0.01549,0.00345,-0.00069,0.00521,0.41,0.55,0.00000,0.03100,-0.01853,0.00000,-0.00220,-0.00103,0,167.305,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02028,-0.00472,527.46687,680.44025,0.00000,0.00000,-0.13702,-0.00174,-0.02779,0.00587,527.46687,0.00000,1,1,3,1,1,0,0
168.8421,0.01151,-0.00539,0.00922,-0.00534,0.00893,-0.01542,0.00291,-0.00388,0.00521,0.41,0.55,0.00000,0.03100,-0.01853,0.00000,-0.00230,0.00005,0,167.304,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02120,-0.00418,527.06864,683.02917,0.00000,0.00000,-0.14206,-0.00174,-0.02775,0.00534,527.06864,0.00000,1,1,3,1,1,0,0
168.9424,0.01166,-0.00604,0.00952,-0.00471,0.00787,-0.01592,0.00131,-0.00122,0.00467,0.40,0.55,0.00000,0.03100,-0.01853,0.00000,-0.00214,0.00133,0,167.246,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02215,-0.00371,519.27151,681.17794,0.00000,0.00000,-0.14633,-0.00168,-0.02805,0.00471,519.27151,0.00000,1,1,3,1,1,0,0
169.0427,0.01154,-0.00649,0.00960,-0.00380,0.00636,-0.01608,0.00025,-0.00015,0.00467,0.40,0.55,0.00000,0.03100,-0.01851,0.00000,-0.00194,0.00269,0,167.439,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02311,-0.00333,512.57834,684.44284,0.00000,0.00000,-0.15015,-0.00327,-0.02812,0.00380,512.57834,0.00000,1,1,3,1,1,0,0
169.1451,0.01138,-0.00712,0.01022,-0.00361,0.00603,-0.01709,-0.00028,-0.00334,0.00466,0.39,0.55,0.00000,0.03100,-0.01854,0.00000,-0.00116,0.00351,0,167.162,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02414,-0.00297,504.67352,676.99443,0.00000,0.00000,-0.15955,-0.00275,-0.02877,0.00361,504.67352,0.00000,1,1,3,1,1,0,0
169.2455,0.01151,-0.00768,0.01008,-0.00305,0.00509,-0.01687,-0.00188,0.00092,0.00360,0.39,0.55,0.00000,0.03100,-0.01853,0.00000,-0.00143,0.00464,0,167.324,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02515,-0.00267,501.13139,680.88267,0.00000,0.00000,-0.16061,-0.00246,-0.02861,0.00305,501.13139,0.00000,1,1,3,1,1,0,0
169.3457,0.01196,-0.00850,0.00876,-0.00219,0.00366,-0.01467,-0.00188,0.00411,0.00519,0.40,0.54,0.00000,0.03100,-0.01851,0.00000,-0.00320,0.00632,0,167.496,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02602,-0.00245,496.38057,680.14563,0.00000,0.00000,-0.15458,-0.00598,-0.02727,0.00219,496.38057,0.00000,1,1,3,1,1,0,0
169.4462,0.01229,-0.00876,0.00846,-0.00195,0.00327,-0.01415,-0.00187,-0.00387,0.00519,0.39,0.54,0.00000,0.03100,-0.01853,0.00000,-0.00383,0.00681,0,167.301,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02687,-0.00225,499.14087,672.78995,0.00000,0.00000,-0.16014,-0.00608,-0.02699,0.00195,499.14087,0.00000,1,1,3,1,1,0,0
169.5465,0.01194,-0.00936,0.00929,-0.00137,0.00229,-0.01549,-0.00241,-0.01079,0.00625,0.38,0.54,0.00000,0.03100,-0.01858,0.00000,-0.00266,0.00799,0,166.816,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02780,-0.00212,493.65064,676.55705,0.00000,0.00000,-0.17228,-0.00848,-0.02787,0.00137,493.65064,0.00000,1,1,3,1,1,0,0
169.6472,0.01146,-0.00985,0.00929,-0.00087,0.00145,-0.01553,-0.00294,-0.00333,0.00359,0.38,0.54,0.00000,0.03100,-0.01854,0.00000,-0.00217,0.00898,0,167.223,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02872,-0.00203,483.35913,678.96967,0.00000,0.00000,-0.17231,-0.00707,-0.02783,0.00087,483.35913,0.00000,1,1,3,1,1,0,0
169.7482,0.01129,-0.01011,0.00946,-0.00063,0.00105,-0.01583,-0.00187,0.00199,0.00412,0.38,0.54,0.00000,0.03100,-0.01854,0.00000,-0.00183,0.00947,0,167.249,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02967,-0.00197,476.43201,677.57849,0.00000,0.00000,-0.17447,-0.00812,-0.02800,0.00063,476.43201,0.00000,1,1,3,1,1,0,0
169.8485,0.01135,-0.01037,0.00945,-0.00037,0.00061,-0.01577,-0.00187,-0.00227,0.00571,0.37,0.54,0.00000,0.03100,-0.01858,0.00000,-0.00190,0.01000,0,166.839,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.03062,-0.00193,472.41995,672.86199,0.00000,0.00000,-0.18030,-0.01040,-0.02803,0.00037,472.41995,0.00000,1,1,3,1,1,0,0
169.9496,0.01141,-0.01101,0.00934,0.00026,-0.00044,-0.01563,0.00026,-0.00280,0.00145,0.37,0.54,0.00000,0.03100,-0.01853,0.00000,-0.00207,0.01127,0,167.254,0.00000,0.00000,6.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.03155,-0.00196,472.81099,673.58333,0.00000,0.00000,-0.18367,-0.00811,-0.02788,-0.00026,472.81099,0.00000,1,1,3,1,1,0,0
