timestamp_s,cam_pitch_rad,cam_yaw_rad,laser_pitch_rad,laser_yaw_rad,laser_dx_m,laser_dy_m,imu_omega_x_rad_s,imu_omega_y_rad_s,imu_omega_z_rad_s,throttle_pitch,throttle_yaw,setpoint_laser_dx_m,setpoint_laser_dy_m,cam_setpoint_pitch_rad,cam_setpoint_yaw_rad,cam_offset_pitch_rad,cam_offset_yaw_rad,mode_slew,dist_cm,omega_des_pitch_rad_s,omega_des_yaw_rad_s,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,error_sum_pitch,error_sum_yaw,omega1_act_rad_s,omega2_act_rad_s,u_ff_pitch,u_ff_yaw,u_fb_pitch,u_fb_yaw,e_pitch_rad,e_yaw_rad,Omega1_des_rad_s,Omega2_des_rad_s,cam_valid,laser_valid,active_target_idx,pid_pitch_on,pid_yaw_on,ff_pitch_on,ff_yaw_on
149.0028,-0.03574,-0.42341,-0.00676,0.02419,-0.02803,0.00783,0.00388,0.10111,-0.02684,0.57,0.46,0.00000,0.00000,0.00000,0.00000,0.02898,0.44760,0,127.113,0.00000,0.00000,8.0000,4.0000,0.5000,3.0000,3.0000,1.0000,0.00069,-0.01483,646.48475,641.14136,0.00000,0.00000,0.10739,-0.09022,0.00676,-0.02419,0.00000,0.00000,1,1,0,1,1,0,0
149.1032,-0.02867,-0.41834,0.04115,0.00555,-0.00646,-0.04794,0.00813,0.02336,-0.05875,0.47,0.55,0.00000,0.00000,0.00000,0.00000,0.06982,0.42390,0,127.448,0.00000,0.00000,8.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.00343,-0.01538,754.01240,594.37946,0.00000,0.00000,-0.33126,-0.00405,-0.04115,-0.00555,0.00000,0.00000,1,1,0,1,1,0,0
149.2037,-0.01749,-0.41303,0.04150,0.05762,-0.06709,-0.04829,-0.00038,0.06912,-0.01352,0.37,0.45,0.00000,0.00000,0.00000,0.00000,0.05898,0.47065,0,126.994,0.00000,0.00000,8.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.00758,-0.02115,645.75389,698.67511,0.00000,0.00000,-0.32773,-0.22278,-0.04150,-0.05762,0.00000,0.00000,1,1,0,1,1,0,0
149.3040,-0.01211,-0.41008,0.05889,0.05965,-0.06958,-0.06870,0.01664,0.11589,-0.08001,0.27,0.37,0.00000,0.00000,0.00000,0.00000,0.07100,0.46972,0,127.051,0.00000,0.00000,8.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.01347,-0.02711,515.81851,593.48119,0.00000,0.00000,-0.46707,-0.18026,-0.05889,-0.05965,0.00000,0.00000,1,1,0,1,1,0,0
149.4059,-0.00566,-0.40852,nan,nan,nan,nan,0.02567,0.16690,-0.20445,0.17,0.47,0.00000,0.00000,-0.00000,0.00000,0.07100,0.46972,0,127.202,0.00000,0.00000,8.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02000,-0.03323,363.08496,483.21044,0.00000,0.00000,-0.51928,-0.07886,-0.06534,-0.06121,0.00000,0.00000,1,0,0,1,1,0,0
149.5064,0.01984,-0.38553,nan,nan,nan,nan,0.02514,0.20468,-0.16561,0.10,0.37,0.00000,0.00000,-0.00000,0.00000,0.07100,0.46972,0,127.163,0.00000,0.00000,8.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02909,-0.04165,214.50907,601.26175,0.00000,0.00000,-0.74069,-0.21193,-0.09084,-0.08420,0.00000,0.00000,1,0,0,1,1,0,0
149.6067,0.03384,-0.37213,nan,nan,nan,nan,0.04270,0.21053,-0.24809,0.10,0.35,0.00000,0.00000,-0.00000,0.00000,0.07100,0.46972,0,128.039,0.00000,0.00000,8.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02909,-0.05141,111.23635,485.56301,0.00000,0.00000,-0.84982,-0.19892,-0.10484,-0.09759,0.00000,0.00000,1,0,0,1,1,0,0
149.7070,0.07152,-0.33855,nan,nan,nan,nan,0.06133,0.14614,-0.27682,0.10,0.25,0.00000,0.00000,-0.00000,0.00000,0.07100,0.46972,0,128.060,0.00000,0.00000,8.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02909,-0.06453,92.54404,449.08765,0.00000,0.00000,-1.18339,-0.31030,-0.14251,-0.13118,0.00000,0.00000,1,0,0,1,1,0,0
149.8081,0.09359,-0.30587,nan,nan,nan,nan,0.06771,0.06580,-0.35983,0.10,0.18,0.00000,0.00000,-0.00000,0.00000,0.07100,0.46972,0,126.840,0.00000,0.00000,8.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02909,-0.08091,91.32935,318.78160,0.00000,0.00000,-1.40015,-0.37448,-0.16459,-0.16386,0.00000,0.00000,1,0,0,1,1,0,0
149.9090,0.10170,-0.28161,nan,nan,nan,nan,0.05813,-0.01242,-0.43486,0.10,0.12,0.00000,0.00000,-0.00000,0.00000,0.07100,0.46972,0,126.389,0.00000,0.00000,8.0000,4.0000,0.5000,3.0000,3.0000,1.0000,-0.02909,-0.09973,91.26700,207.18123,0.00000,0.00000,-1.50415,-0.42867,-0.17270,-0.18812,0.00000,0.00000,1,0,0,1,1,0,0
