timestamp_s,cam_pitch_rad,cam_yaw_rad,laser_pitch_rad,laser_yaw_rad,laser_dx_m,laser_dy_m,imu_omega_x_rad_s,imu_omega_y_rad_s,imu_omega_z_rad_s,throttle_pitch,throttle_yaw,setpoint_laser_dx_m,setpoint_laser_dy_m,cam_setpoint_pitch_rad,cam_setpoint_yaw_rad,cam_offset_pitch_rad,cam_offset_yaw_rad,mode_slew,dist_cm,omega_des_pitch_rad_s,omega_des_yaw_rad_s,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,error_sum_pitch,error_sum_yaw,omega1_act_rad_s,omega2_act_rad_s,u_ff_pitch,u_ff_yaw,u_fb_pitch,u_fb_yaw,e_pitch_rad,e_yaw_rad,Omega1_des_rad_s,Omega2_des_rad_s,cam_valid,laser_valid,active_target_idx,pid_pitch_on,pid_yaw_on,ff_pitch_on,ff_yaw_on
747.4335,-0.01321,-0.00953,-0.00275,-0.00085,0.00141,0.00458,0.00321,0.00290,0.00163,0.26,0.55,0.00000,-0.03100,0.01862,0.00000,0.01046,0.00868,0,166.454,0.00000,0.00000,6.0000,29.0000,0.5000,3.0000,3.0000,1.0000,-0.01047,-0.00137,296.65653,679.48365,0.00000,0.00000,-0.28567,-0.00319,0.02138,0.00085,296.65653,0.00000,1,1,4,1,1,0,0
747.5344,-0.01241,-0.00950,-0.00358,-0.00086,0.00142,0.00595,0.00161,-0.00029,0.00110,0.28,0.55,0.00000,-0.03100,0.01865,0.00000,0.00883,0.00865,0,166.234,0.00000,0.00000,6.0000,29.0000,0.5000,3.0000,3.0000,1.0000,-0.01011,-0.00128,319.91779,684.66659,0.00000,0.00000,-0.27194,-0.00238,0.02223,0.00086,319.91779,0.00000,1,1,4,1,1,0,0
747.6362,-0.01117,-0.00990,-0.00478,-0.00048,0.00080,0.00797,-0.00052,-0.00720,0.00216,0.30,0.55,0.00000,-0.03100,0.01861,0.00000,0.00638,0.00942,0,166.549,0.00000,0.00000,6.0000,29.0000,0.5000,3.0000,3.0000,1.0000,-0.00963,-0.00124,338.02374,684.96515,0.00000,0.00000,-0.25429,-0.00442,0.02340,0.00048,338.02374,0.00000,1,1,4,1,1,0,0
747.7375,-0.01084,-0.00988,-0.00508,-0.00053,0.00089,0.00848,-0.00371,-0.01518,0.00056,0.31,0.55,0.00000,-0.03100,0.01857,0.00000,0.00576,0.00934,0,166.949,0.00000,0.00000,6.0000,29.0000,0.5000,3.0000,3.0000,1.0000,-0.00913,-0.00118,360.06793,677.87089,0.00000,0.00000,-0.24179,-0.00251,0.02365,0.00053,360.06793,0.00000,1,1,4,1,1,0,0
747.8378,-0.01080,-0.00996,-0.00516,-0.00040,0.00067,0.00858,-0.00743,-0.01783,0.00322,0.32,0.54,0.00000,-0.03100,0.01862,0.00000,0.00565,0.00956,0,166.472,0.00000,0.00000,6.0000,29.0000,0.5000,3.0000,3.0000,1.0000,-0.00861,-0.00114,379.60279,681.84322,0.00000,0.00000,-0.22768,-0.00545,0.02378,0.00040,379.60279,0.00000,1,1,4,1,1,0,0
747.9382,-0.01155,-0.01027,-0.00440,-0.00052,0.00087,0.00733,-0.00849,-0.01995,0.00056,0.33,0.55,0.00000,-0.03100,0.01861,0.00000,0.00715,0.00975,0,166.598,0.00000,0.00000,6.0000,29.0000,0.5000,3.0000,3.0000,1.0000,-0.00817,-0.00109,397.92181,676.62991,0.00000,0.00000,-0.22054,-0.00227,0.02301,0.00052,397.92181,0.00000,1,1,4,1,1,0,0
748.0388,-0.01301,-0.01049,-0.00289,0.00014,-0.00024,0.00483,-0.01061,-0.01674,0.00269,0.33,0.54,0.00000,-0.03100,0.01855,0.00000,0.01011,0.01063,0,167.087,0.00000,0.00000,6.0000,29.0000,0.5000,3.0000,3.0000,1.0000,-0.00788,-0.00110,410.71940,679.04305,0.00000,0.00000,-0.21957,-0.00643,0.02145,-0.00014,410.71940,0.00000,1,1,4,1,1,0,0
748.1404,-0.01390,-0.01046,-0.00163,0.00013,-0.00021,0.00271,-0.01061,-0.00556,0.00056,0.33,0.55,0.00000,-0.03100,0.01862,0.00000,0.01227,0.01058,0,166.538,0.00000,0.00000,6.0000,29.0000,0.5000,3.0000,3.0000,1.0000,-0.00772,-0.00112,412.03917,673.00614,0.00000,0.00000,-0.21684,-0.00429,0.02025,-0.00013,412.03917,0.00000,1,1,4,1,1,0,0
748.2408,-0.01392,-0.01062,-0.00157,0.00031,-0.00051,0.00262,-0.01007,0.00242,0.00109,0.34,0.54,0.00000,-0.03100,0.01859,0.00000,0.01236,0.01092,0,166.794,0.00000,0.00000,6.0000,29.0000,0.5000,3.0000,3.0000,1.0000,-0.00756,-0.00115,414.81384,675.46606,0.00000,0.00000,-0.20867,-0.00545,0.02015,-0.00031,414.81384,0.00000,1,1,4,1,1,0,0
748.3437,-0.01308,-0.01061,-0.00281,-0.00013,0.00022,0.00470,-0.00528,0.00135,-0.00104,0.36,0.55,0.00000,-0.03100,0.01857,0.00000,0.01026,0.01048,0,166.972,0.00000,0.00000,6.0000,29.0000,0.5000,3.0000,3.0000,1.0000,-0.00728,-0.00113,428.36006,678.96967,0.00000,0.00000,-0.19358,-0.00198,0.02138,0.00013,428.36006,0.00000,1,1,4,1,1,0,0
