timestamp_s,cam_pitch_rad,cam_yaw_rad,laser_pitch_rad,laser_yaw_rad,laser_dx_m,laser_dy_m,imu_omega_x_rad_s,imu_omega_y_rad_s,imu_omega_z_rad_s,throttle_pitch,throttle_yaw,setpoint_laser_dx_m,setpoint_laser_dy_m,cam_setpoint_pitch_rad,cam_setpoint_yaw_rad,cam_offset_pitch_rad,cam_offset_yaw_rad,mode_slew,dist_cm,omega_des_pitch_rad_s,omega_des_yaw_rad_s,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,error_sum_pitch,error_sum_yaw,omega1_act_rad_s,omega2_act_rad_s,u_ff_pitch,u_ff_yaw,u_fb_pitch,u_fb_yaw,e_pitch_rad,e_yaw_rad,Omega1_des_rad_s,Omega2_des_rad_s,cam_valid,laser_valid,active_target_idx,pid_pitch_on,pid_yaw_on,ff_pitch_on,ff_yaw_on
989.6599,-0.00255,-0.01652,0.02415,0.00553,-0.00937,-0.04094,-0.01869,-0.00521,0.00522,0.10,0.10,0.00000,0.03100,-0.01829,0.00000,0.02669,0.02205,0,169.514,0.00000,0.00000,7.0000,5.0000,0.5000,4.0000,3.0000,1.0000,-0.07727,-0.14927,85.75854,83.20887,0.00000,0.00000,-0.55799,-0.47514,-0.04244,-0.00553,0.00000,0.00000,1,1,3,1,1,1,1
989.7602,-0.00319,-0.01729,0.02477,0.00629,-0.01070,-0.04212,-0.01973,0.00011,0.00468,0.10,0.10,0.00000,0.03100,-0.01823,0.00000,0.02795,0.02359,0,170.077,0.00000,0.00000,7.0000,5.0000,0.5000,4.0000,3.0000,1.0000,-0.07727,-0.14927,85.73280,83.23533,0.00000,0.00000,-0.55965,-0.47767,-0.04299,-0.00629,0.00000,0.00000,1,1,3,1,1,1,1
989.8610,-0.00339,-0.01869,0.02458,0.00771,-0.01310,-0.04177,-0.01865,0.00703,0.00414,0.10,0.10,0.00000,0.03100,-0.01824,0.00000,0.02797,0.02640,0,169.954,0.00000,0.00000,7.0000,5.0000,0.5000,4.0000,3.0000,1.0000,-0.07727,-0.14927,85.75854,83.23753,0.00000,0.00000,-0.55488,-0.48280,-0.04282,-0.00771,0.00000,0.00000,1,1,3,1,1,1,1
989.9619,-0.00252,-0.01984,0.02373,0.00891,-0.01514,-0.04032,-0.01385,0.01234,0.00574,0.10,0.10,0.00000,0.03100,-0.01824,0.00000,0.02625,0.02875,0,169.948,0.00000,0.00000,7.0000,5.0000,0.5000,4.0000,3.0000,1.0000,-0.07727,-0.14927,85.88162,83.21990,0.00000,0.00000,-0.54627,-0.48919,-0.04197,-0.00891,0.00000,0.00000,1,1,3,1,1,1,1
990.0640,-0.00148,-0.02081,0.02318,0.01038,-0.01764,-0.03942,-0.00639,0.01445,0.00573,0.10,0.10,0.00000,0.03100,-0.01823,0.00000,0.02467,0.03118,0,170.030,0.00000,0.00000,7.0000,5.0000,0.5000,4.0000,3.0000,1.0000,-0.07727,-0.14927,85.74450,82.75952,0.00000,0.00000,-0.54141,-0.49505,-0.04142,-0.01038,0.00000,0.00000,1,1,3,1,1,1,1
990.1646,-0.00004,-0.02180,0.02169,0.01094,-0.01862,-0.03692,-0.00106,0.01657,0.00307,0.10,0.10,0.00000,0.03100,-0.01821,0.00000,0.02173,0.03275,0,170.212,0.00000,0.00000,7.0000,5.0000,0.5000,4.0000,3.0000,1.0000,-0.07727,-0.14927,85.75620,83.11751,0.00000,0.00000,-0.52992,-0.49465,-0.03991,-0.01094,0.00000,0.00000,1,1,3,1,1,1,1
990.2654,0.00198,-0.02270,0.01968,0.01191,-0.02027,-0.03348,0.00851,0.01549,0.00413,0.10,0.10,0.00000,0.03100,-0.01822,0.00000,0.01770,0.03462,0,170.186,0.00000,0.00000,7.0000,5.0000,0.5000,4.0000,3.0000,1.0000,-0.07727,-0.14927,85.74684,83.02526,0.00000,0.00000,-0.51633,-0.49959,-0.03789,-0.01191,0.00000,0.00000,1,1,3,1,1,1,1
990.3657,0.00412,-0.02379,0.01765,0.01308,-0.02222,-0.02996,0.01648,0.01281,0.00412,0.10,0.10,0.00000,0.03100,-0.01826,0.00000,0.01353,0.03688,0,169.833,0.00000,0.00000,7.0000,5.0000,0.5000,4.0000,3.0000,1.0000,-0.07727,-0.14927,85.74450,83.03513,0.00000,0.00000,-0.50346,-0.50427,-0.03590,-0.01308,0.00000,0.00000,1,1,3,1,1,1,1
990.4669,0.00597,-0.02473,0.01583,0.01449,-0.02464,-0.02692,0.02125,0.00907,0.00465,0.10,0.10,0.00000,0.03100,-0.01823,0.00000,0.00986,0.03922,0,170.048,0.00000,0.00000,7.0000,5.0000,0.5000,4.0000,3.0000,1.0000,-0.07727,-0.14927,85.73982,83.05489,0.00000,0.00000,-0.49264,-0.51043,-0.03407,-0.01449,0.00000,0.00000,1,1,3,1,1,1,1
990.5679,0.00668,-0.02517,0.01516,0.01455,-0.02475,-0.02578,0.02336,0.00481,0.00518,0.10,0.10,0.00000,0.03100,-0.01823,0.00000,0.00849,0.03972,0,170.114,0.00000,0.00000,7.0000,5.0000,0.5000,4.0000,3.0000,1.0000,-0.07727,-0.14927,85.78899,83.00222,0.00000,0.00000,-0.49007,-0.51120,-0.03339,-0.01455,0.00000,0.00000,1,1,3,1,1,1,1
