timestamp_s,cam_pitch_rad,cam_yaw_rad,laser_pitch_rad,laser_yaw_rad,laser_dx_m,laser_dy_m,imu_omega_x_rad_s,imu_omega_y_rad_s,imu_omega_z_rad_s,throttle_pitch,throttle_yaw,setpoint_laser_dx_m,setpoint_laser_dy_m,cam_setpoint_pitch_rad,cam_setpoint_yaw_rad,cam_offset_pitch_rad,cam_offset_yaw_rad,mode_slew,dist_cm,omega_des_pitch_rad_s,omega_des_yaw_rad_s,kp_pitch,ki_pitch,kd_pitch,kp_yaw,ki_yaw,kd_yaw,error_sum_pitch,error_sum_yaw,omega1_act_rad_s,omega2_act_rad_s,u_ff_pitch,u_ff_yaw,u_fb_pitch,u_fb_yaw,e_pitch_rad,e_yaw_rad,Omega1_des_rad_s,Omega2_des_rad_s,cam_valid,laser_valid,active_target_idx,pid_pitch_on,pid_yaw_on,ff_pitch_on,ff_yaw_on
510.0791,-0.09088,0.04907,nan,nan,nan,nan,-0.01117,-0.00232,-0.02308,0.31,0.31,0.00000,-0.03100,0.01724,0.00000,-0.03095,0.01610,0,180.748,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,4.0000,1.0000,-0.36520,-0.01936,375.99098,359.53223,0.00000,0.00000,0.00000,0.00000,0.13908,-0.06517,0.00000,0.00000,1,0,4,1,1,1,1
510.1803,-0.09093,0.05102,nan,nan,nan,nan,-0.02605,0.01310,0.00301,0.32,0.32,0.00000,-0.03100,0.01722,0.00000,-0.03095,0.01610,0,180.938,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,4.0000,1.0000,-0.36520,-0.01936,381.07626,364.01050,0.00000,0.00000,0.00000,0.00000,0.13911,-0.06712,0.00000,0.00000,1,0,4,1,1,1,1
510.2829,-0.08898,0.05129,nan,nan,nan,nan,-0.03665,-0.03635,0.00034,0.32,0.32,0.00000,-0.03100,0.01725,0.00000,-0.03095,0.01610,0,180.636,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,4.0000,1.0000,-0.36520,-0.01936,387.68343,370.84255,0.00000,0.00000,0.00000,0.00000,0.13718,-0.06739,0.00000,0.00000,1,0,4,1,1,1,1
510.3831,-0.09106,0.05095,nan,nan,nan,nan,-0.04406,-0.00015,-0.03103,0.33,0.33,0.00000,-0.03100,0.01722,0.00000,-0.03095,0.01610,0,181.017,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,4.0000,1.0000,-0.36520,-0.01936,395.46735,377.75418,0.00000,0.00000,0.00000,0.00000,0.13923,-0.06704,0.00000,0.00000,1,0,4,1,1,1,1
510.4849,-0.09198,0.05343,nan,nan,nan,nan,-0.04083,0.02112,-0.01132,0.33,0.33,0.00000,-0.03100,0.01724,0.00000,-0.03095,0.01610,0,180.819,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,4.0000,1.0000,-0.36520,-0.01936,404.01140,383.84662,0.00000,0.00000,0.00000,0.00000,0.14018,-0.06953,0.00000,0.00000,1,0,4,1,1,1,1
510.5853,-0.08907,0.05536,nan,nan,nan,nan,-0.05249,0.07374,0.04453,0.34,0.34,0.00000,-0.03100,0.01721,0.00000,-0.03095,0.01610,0,181.100,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,4.0000,1.0000,-0.36520,-0.01936,410.58520,389.87251,0.00000,0.00000,0.00000,0.00000,0.13723,-0.07145,0.00000,0.00000,1,0,4,1,1,1,1
510.6857,-0.08107,0.05209,nan,nan,nan,nan,-0.06466,0.10930,0.06575,0.34,0.34,0.00000,-0.03100,0.01720,0.00000,-0.03095,0.01610,0,181.045,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,4.0000,1.0000,-0.36520,-0.01936,415.17017,397.69513,0.00000,0.00000,0.00000,0.00000,0.12922,-0.06819,0.00000,0.00000,1,0,4,1,1,1,1
510.7872,-0.07101,0.04584,nan,nan,nan,nan,-0.06619,0.14323,0.07100,0.35,0.35,0.00000,-0.03100,0.01721,0.00000,-0.03095,0.01610,0,180.769,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,4.0000,1.0000,-0.36520,-0.01936,423.25263,405.05320,0.00000,0.00000,0.00000,0.00000,0.11917,-0.06194,0.00000,0.00000,1,0,4,1,1,1,1
510.8874,-0.05052,0.03545,nan,nan,nan,nan,-0.05763,0.13087,0.07839,0.35,0.35,0.00000,-0.03100,0.01707,0.00000,-0.03095,0.01610,0,181.905,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,4.0000,1.0000,-0.36520,-0.01936,433.92164,413.96662,0.00000,0.00000,0.00000,0.00000,0.09855,-0.05155,0.00000,0.00000,1,0,4,1,1,1,1
510.9882,-0.03691,0.02799,0.02002,-0.03907,0.07086,-0.03630,-0.03843,0.09512,0.08629,0.36,0.36,0.00000,-0.03100,0.01710,0.00000,-0.03095,0.01610,0,181.444,0.00000,0.00000,7.0000,7.0000,1.0000,5.0000,4.0000,1.0000,-0.36520,-0.01936,438.03579,418.29341,0.00000,0.00000,0.00000,0.00000,-0.00292,0.03907,0.00000,0.00000,1,1,4,1,1,1,1
